pitch_type,pitches,pitch_prob,hits,onbase,hrs,strikeouts,bbs,pitch_probability,BA,OBP,HR Rate,K Rate,BB Rate,Type
CH,362,0.11896155110088728,32,38,3,20,6,11.9,8.84,10.5,0.83,5.52,1.66,all pitches
CU,468,0.15379559645087085,21,26,0,32,5,15.38,4.49,5.56,0,6.84,1.07,all pitches
FC,1040,0.3417679921130463,78,100,10,65,22,34.18,7.5,9.62,0.96,6.25,2.12,all pitches
FF,862,0.2832730857706211,64,82,11,42,18,28.33,7.42,9.51,1.28,4.87,2.09,all pitches
null,2,6.572461386789353e-4,0,0,0,0,0,0.07,0,0,0,0,0,all pitches
SI,309,0.1015445284258955,34,40,2,6,6,10.15,11,12.94,0.65,1.94,1.94,all pitches
CH,42,0.054901960784313725,4,4,1,0,0,5.49,9.52,9.52,2.38,0,0,first pitches
CU,171,0.2235294117647059,3,4,0,0,0,22.35,1.75,2.34,0,0,0,first pitches
FC,200,0.26143790849673204,14,14,4,0,0,26.14,7,7,2,0,0,first pitches
FF,255,0.3333333333333333,11,11,3,0,0,33.33,4.31,4.31,1.18,0,0,first pitches
null,1,0.00130718954248366,0,0,0,0,0,0.13,0,0,0,0,0,first pitches
SI,96,0.12549019607843137,11,11,0,0,0,12.55,11.46,11.46,0,0,0,first pitches
CH | CH,60,0.16574585635359115,3,3,0,2,0,16.57,5,5,0,3.33,0,conditionals
CH | CU,68,0.1452991452991453,9,9,0,4,0,14.53,13.24,13.24,0,5.88,0,conditionals
CH | FC,91,0.0875,9,14,0,8,5,8.75,9.89,15.38,0,8.79,5.49,conditionals
CH | FF,62,0.07192575406032482,3,4,1,3,1,7.19,4.84,6.45,1.61,4.84,1.61,conditionals
CH | SI,39,0.1262135922330097,4,4,1,3,0,12.62,10.26,10.26,2.56,7.69,0,conditionals
CU | CH,32,0.08839779005524862,1,1,0,4,0,8.84,3.12,3.12,0,12.5,0,conditionals
CU | CU,74,0.1581196581196581,6,6,0,6,0,15.81,8.11,8.11,0,8.11,0,conditionals
CU | FC,111,0.10673076923076923,4,8,0,14,4,10.67,3.6,7.21,0,12.61,3.6,conditionals
CU | FF,66,0.0765661252900232,6,6,0,7,0,7.66,9.09,9.09,0,10.61,0,conditionals
CU | SI,14,0.045307443365695796,1,1,0,1,0,4.53,7.14,7.14,0,7.14,0,conditionals
FC | CH,82,0.2265193370165746,6,8,1,10,2,22.65,7.32,9.76,1.22,12.2,2.44,conditionals
FC | CU,140,0.29914529914529914,11,16,1,6,5,29.91,7.86,11.43,0.71,4.29,3.57,conditionals
FC | FC,331,0.31826923076923075,27,39,1,20,12,31.83,8.16,11.78,0.3,6.04,3.63,conditionals
FC | FF,221,0.25638051044083526,15,18,3,21,3,25.64,6.79,8.14,1.36,9.5,1.36,conditionals
FC | null,1,0.5,0,0,0,0,0,50,0,0,0,0,0,conditionals
FC | SI,65,0.21035598705501618,5,5,0,8,0,21.04,7.69,7.69,0,12.31,0,conditionals
FF | CH,67,0.1850828729281768,5,10,0,5,5,18.51,7.46,14.93,0,7.46,7.46,conditionals
FF | CU,71,0.1517094017094017,7,7,1,6,0,15.17,9.86,9.86,1.41,8.45,0,conditionals
FF | FC,180,0.17307692307692307,18,22,7,17,4,17.31,10,12.22,3.89,9.44,2.22,conditionals
FF | FF,257,0.29814385150812067,19,28,0,14,9,29.81,7.39,10.89,0,5.45,3.5,conditionals
FF | SI,32,0.10355987055016182,4,4,0,0,0,10.36,12.5,12.5,0,0,0,conditionals
null | null,1,NA,0,0,0,0,0,NA,0,0,0,0,0,conditionals
SI | CH,22,0.06077348066298342,1,1,0,0,0,6.08,4.55,4.55,0,0,0,conditionals
SI | CU,27,0.057692307692307696,3,3,0,1,0,5.77,11.11,11.11,0,3.7,0,conditionals
SI | FC,49,0.047115384615384615,6,7,1,3,1,4.71,12.24,14.29,2.04,6.12,2.04,conditionals
SI | FF,38,0.04408352668213457,5,7,0,1,2,4.41,13.16,18.42,0,2.63,5.26,conditionals
SI | SI,77,0.24919093851132687,8,11,1,1,3,24.92,10.39,14.29,1.3,1.3,3.9,conditionals
