loc,stand,pitch_type,pitches,total_pitches,pitch_prob,hits,onbase,hrs,strikeouts,bbs,pitch_probability,BA,OBP,HR Rate,K Rate,BB Rate,Type
Home,L,CH,31,284,0.10915492957746478,2,2,1,2,0,10.92,6.45,6.45,3.23,6.45,0,all pitches
Home,L,CU,23,284,0.08098591549295775,3,4,0,0,1,8.1,13.04,17.39,0,0,4.35,all pitches
Home,L,FC,75,284,0.2640845070422535,7,7,0,4,0,26.41,9.33,9.33,0,5.33,0,all pitches
Home,L,FF,71,284,0.25,7,8,0,6,1,25,9.86,11.27,0,8.45,1.41,all pitches
Home,L,null,2,284,0.007042253521126761,0,0,0,0,0,0.7,0,0,0,0,0,all pitches
Home,L,SI,82,284,0.2887323943661972,10,12,0,4,2,28.87,12.2,14.63,0,4.88,2.44,all pitches
Home,R,CH,192,1251,0.15347721822541965,19,20,2,12,1,15.35,9.9,10.42,1.04,6.25,0.52,all pitches
Home,R,CU,194,1251,0.1550759392486011,7,9,0,14,2,15.51,3.61,4.64,0,7.22,1.03,all pitches
Home,R,FC,408,1251,0.3261390887290168,30,39,5,28,9,32.61,7.35,9.56,1.23,6.86,2.21,all pitches
Home,R,FF,377,1251,0.30135891286970423,33,40,5,17,7,30.14,8.75,10.61,1.33,4.51,1.86,all pitches
Home,R,SI,80,1251,0.0639488409272582,13,13,0,0,0,6.39,16.25,16.25,0,0,0,all pitches
Road,L,CH,25,401,0.06234413965087282,2,2,0,2,0,6.23,8,8,0,8,0,all pitches
Road,L,CU,54,401,0.13466334164588528,3,4,0,3,1,13.47,5.56,7.41,0,5.56,1.85,all pitches
Road,L,FC,130,401,0.32418952618453867,13,15,1,12,2,32.42,10,11.54,0.77,9.23,1.54,all pitches
Road,L,FF,112,401,0.2793017456359102,8,10,2,1,2,27.93,7.14,8.93,1.79,0.89,1.79,all pitches
Road,L,SI,80,401,0.19950124688279303,4,7,0,1,3,19.95,5,8.75,0,1.25,3.75,all pitches
Road,R,CH,114,1107,0.10298102981029811,9,14,0,4,5,10.3,7.89,12.28,0,3.51,4.39,all pitches
Road,R,CU,197,1107,0.17795844625112917,8,9,0,15,1,17.8,4.06,4.57,0,7.61,0.51,all pitches
Road,R,FC,427,1107,0.3857271906052394,28,39,4,21,11,38.57,6.56,9.13,0.94,4.92,2.58,all pitches
Road,R,FF,302,1107,0.2728093947606143,16,24,4,18,8,27.28,5.3,7.95,1.32,5.96,2.65,all pitches
Road,R,SI,67,1107,0.06052393857271906,7,8,2,1,1,6.05,10.45,11.94,2.99,1.49,1.49,all pitches
Home,L,CH,2,77,0.025974025974025976,0,0,0,0,0,2.6,0,0,0,0,0,first pitches
Home,L,CU,10,77,0.12987012987012986,0,1,0,0,0,12.99,0,10,0,0,0,first pitches
