inning,inning_topbot,home_score,away_score,home_team_wins,away_team_wins,games
1,Bot,0,0,1024,1122,2146
1,Bot,0,1,163,323,486
1,Bot,0,2,53,187,240
1,Bot,0,3,21,85,106
1,Bot,0,4,4,39,43
1,Bot,0,5,0,11,11
1,Bot,0,6,0,1,1
1,Bot,0,7,0,3,3
1,Bot,0,10,0,1,1
1,Bot,1,0,268,204,472
1,Bot,1,1,57,55,112
1,Bot,1,2,18,41,59
1,Bot,1,3,8,19,27
1,Bot,1,4,4,13,17
1,Bot,1,5,0,5,5
1,Bot,1,6,0,2,2
1,Bot,1,7,0,2,2
1,Bot,2,0,194,85,279
1,Bot,2,1,44,23,67
1,Bot,2,2,13,16,29
1,Bot,2,3,3,10,13
1,Bot,2,4,4,3,7
1,Bot,2,5,1,1,2
1,Bot,2,6,0,1,1
1,Bot,2,7,0,1,1
1,Bot,3,0,109,24,133
1,Bot,3,1,19,6,25
1,Bot,3,2,7,6,13
1,Bot,3,3,7,3,10
1,Bot,3,4,1,0,1
1,Bot,3,5,0,1,1
1,Bot,3,6,0,1,1
1,Bot,4,0,38,13,51
1,Bot,4,1,12,2,14
1,Bot,4,2,5,0,5
1,Bot,4,3,3,1,4
1,Bot,4,4,0,2,2
1,Bot,5,0,28,3,31
1,Bot,5,1,4,2,6
1,Bot,5,2,1,0,1
1,Bot,5,4,2,0,2
1,Bot,6,0,12,0,12
1,Bot,6,1,2,0,2
1,Bot,6,2,1,0,1
1,Bot,6,3,0,1,1
1,Bot,6,5,1,0,1
1,Bot,6,6,0,1,1
1,Bot,7,0,8,0,8
1,Bot,7,2,2,0,2
1,Bot,8,0,1,0,1
1,Bot,10,0,1,0,1
1,Top,0,0,1686,1453,3139
1,Top,0,1,298,412,710
1,Top,0,2,100,248,348
1,Top,0,3,42,118,160
1,Top,0,4,15,57,72
1,Top,0,5,2,18,20
1,Top,0,6,0,6,6
1,Top,0,7,0,6,6
1,Top,0,10,0,1,1
2,Bot,0,0,547,622,1169
2,Bot,0,1,158,326,484
2,Bot,0,2,54,221,275
2,Bot,0,3,26,136,162
2,Bot,0,4,4,59,63
2,Bot,0,5,2,38,40
2,Bot,0,6,2,17,19
2,Bot,0,7,1,6,7
2,Bot,0,8,0,4,4
2,Bot,0,9,0,1,1
2,Bot,0,10,0,2,2
2,Bot,1,0,304,219,523
2,Bot,1,1,98,105,203
2,Bot,1,2,41,79,120
2,Bot,1,3,15,49,64
2,Bot,1,4,7,30,37
2,Bot,1,5,3,20,23
2,Bot,1,6,1,8,9
2,Bot,1,7,0,5,5
2,Bot,1,8,0,4,4
2,Bot,1,9,0,2,2
2,Bot,1,10,0,1,1
2,Bot,2,0,226,74,300
2,Bot,2,1,91,57,148
2,Bot,2,2,32,39,71
2,Bot,2,3,11,24,35
2,Bot,2,4,4,12,16
2,Bot,2,5,0,8,8
2,Bot,2,6,0,6,6
2,Bot,2,7,0,1,1
2,Bot,2,9,0,1,1
2,Bot,3,0,139,26,165
2,Bot,3,1,43,21,64
2,Bot,3,2,23,15,38
2,Bot,3,3,8,14,22
2,Bot,3,4,3,7,10
2,Bot,3,5,0,2,2
2,Bot,3,6,2,2,4
2,Bot,3,12,0,1,1
2,Bot,4,0,71,15,86
2,Bot,4,1,25,8,33
2,Bot,4,2,19,8,27
2,Bot,4,3,7,2,9
2,Bot,4,4,3,2,5
2,Bot,4,6,1,0,1
2,Bot,4,9,0,1,1
2,Bot,5,0,37,1,38
2,Bot,5,1,17,3,20
2,Bot,5,2,5,3,8
2,Bot,5,3,4,0,4
2,Bot,5,4,1,2,3
2,Bot,5,5,0,1,1
2,Bot,5,6,1,1,2
2,Bot,6,0,37,0,37
2,Bot,6,1,8,2,10
2,Bot,6,2,8,0,8
2,Bot,6,3,1,2,3
2,Bot,6,4,0,0,0
2,Bot,6,6,0,1,1
2,Bot,6,8,0,1,1
2,Bot,7,0,14,1,15
